,true_text_path,true_text,text_transcription,pred_text_path,pred_text,pred_transcription
0,archive/data/TEST\DR1\FAKS0\SA1.TXT,"['SHE', 'HAD', 'YOUR', 'DARK', 'SUIT', 'IN', 'GREASY', 'WASH', 'WATER', 'ALL', 'YEAR']","['SH', 'IY', 'HH', 'AE', 'D', 'Y', 'AO', 'R', 'D', 'AA', 'R', 'K', 'S', 'UW', 'T', 'IH', 'N', 'G', 'R', 'IY', 'S', 'IY', 'W', 'AA', 'SH', 'W', 'AO', 'T', 'ER', 'AO', 'L', 'Y', 'IH', 'R']",output_superimpose_0.5\DR1/FAKS0/SA1.WAV.txt,"['SHE', 'MADE', 'DARKWATER', 'ON', 'HER']","['SH', 'IY', 'M', 'EY', 'D', 'D', 'AA', 'R', 'K', 'W', 'AO', 'T', 'ER', 'AA', 'N', 'HH', 'ER']"
1,archive/data/TEST\DR1\FAKS0\SA2.TXT,"['DONT', 'ASK', 'ME', 'TO', 'CARRY', 'AN', 'OILY', 'RAG', 'LIKE', 'THAT']","['D', 'AA', 'N', 'T', 'AE', 'S', 'K', 'M', 'IY', 'T', 'UW', 'K', 'AE', 'R', 'IY', 'AE', 'N', 'OY', 'L', 'IY', 'R', 'AE', 'G', 'L', 'AY', 'K', 'DH', 'AE', 'T']",output_superimpose_0.5\DR1/FAKS0/SA2.WAV.txt,"['DONT', 'ASK', 'ME', 'TO', 'CARRY', 'A', 'DERELICT']","['D', 'AA', 'N', 'T', 'AE', 'S', 'K', 'M', 'IY', 'T', 'UW', 'K', 'AE', 'R', 'IY', 'AH', 'D', 'EH', 'R', 'AH', 'L', 'IH', 'K', 'T']"
2,archive/data/TEST\DR1\FAKS0\SI1573.TXT,"['HIS', 'CAPTAIN', 'WAS', 'THIN', 'AND', 'HAGGARD', 'AND', 'HIS', 'BEAUTIFUL', 'BOOTS', 'WERE', 'WORN', 'AND', 'SHABBY']","['HH', 'IH', 'Z', 'K', 'AE', 'P', 'T', 'AH', 'N', 'W', 'AA', 'Z', 'TH', 'IH', 'N', 'AH', 'N', 'D', 'HH', 'AE', 'G', 'ER', 'D', 'AH', 'N', 'D', 'HH', 'IH', 'Z', 'B', 'Y', 'UW', 'T', 'AH', 'F', 'AH', 'L', 'B', 'UW', 'T', 'S', 'W', 'ER', 'W', 'AO', 'R', 'N', 'AH', 'N', 'D', 'SH', 'AE', 'B', 'IY']",output_superimpose_0.5\DR1/FAKS0/SI1573.WAV.txt,"['ITS', 'CAPTAIN', 'WAS', 'THIN', 'AND', 'HAGGARD', 'AND', 'HIS', 'BEAUTIFUL', 'BOMBARDED']","['IH', 'T', 'S', 'K', 'AE', 'P', 'T', 'AH', 'N', 'W', 'AA', 'Z', 'TH', 'IH', 'N', 'AH', 'N', 'D', 'HH', 'AE', 'G', 'ER', 'D', 'AH', 'N', 'D', 'HH', 'IH', 'Z', 'B', 'Y', 'UW', 'T', 'AH', 'F', 'AH', 'L', 'B', 'AA', 'M', 'B', 'AA', 'R', 'D', 'IH', 'D']"
3,archive/data/TEST\DR1\FAKS0\SI2203.TXT,"['THE', 'REASONS', 'FOR', 'THIS', 'DIVE', 'SEEMED', 'FOOLISH', 'NOW']","['DH', 'AH', 'R', 'IY', 'Z', 'AH', 'N', 'Z', 'F', 'AO', 'R', 'DH', 'IH', 'S', 'D', 'AY', 'V', 'S', 'IY', 'M', 'D', 'F', 'UW', 'L', 'IH', 'SH', 'N', 'AW']",output_superimpose_0.5\DR1/FAKS0/SI2203.WAV.txt,"['THE', 'REASONS', 'FOR', 'THE', 'SKIES', 'WHICH']","['DH', 'AH', 'R', 'IY', 'Z', 'AH', 'N', 'Z', 'F', 'AO', 'R', 'DH', 'AH', 'S', 'K', 'AY', 'Z', 'W', 'IH', 'CH']"
4,archive/data/TEST\DR1\FAKS0\SI943.TXT,"['PRODUCTION', 'MAY', 'FALL', 'FAR', 'BELOW', 'EXPECTATIONS']","['P', 'R', 'AH', 'D', 'AH', 'K', 'SH', 'AH', 'N', 'M', 'EY', 'F', 'AO', 'L', 'F', 'AA', 'R', 'B', 'IH', 'L', 'OW', 'EH', 'K', 'S', 'P', 'EH', 'K', 'T', 'EY', 'SH', 'AH', 'N', 'Z']",output_superimpose_0.5\DR1/FAKS0/SI943.WAV.txt,"['THE', 'DOCTOR', 'MAY', 'FALL', 'FAR', 'BELOW', 'POTATIONS']","['DH', 'AH', 'D', 'AA', 'K', 'T', 'ER', 'M', 'EY', 'F', 'AO', 'L', 'F', 'AA', 'R', 'B', 'IH', 'L', 'OW', 'P', 'OW', 'T', 'EY', 'SH', 'AH', 'N', 'Z']"
5,archive/data/TEST\DR1\FAKS0\SX133.TXT,"['PIZZERIAS', 'ARE', 'CONVENIENT', 'FOR', 'A', 'QUICK', 'LUNCH']","['P', 'IY', 'T', 'S', 'ER', 'IY', 'AH', 'Z', 'AA', 'R', 'K', 'AH', 'N', 'V', 'IY', 'N', 'Y', 'AH', 'N', 'T', 'F', 'AO', 'R', 'AH', 'K', 'W', 'IH', 'K', 'L', 'AH', 'N', 'CH']",output_superimpose_0.5\DR1/FAKS0/SX133.WAV.txt,"['HIS', 'TREASURE', 'DOMINATION']","['HH', 'IH', 'Z', 'T', 'R', 'EH', 'ZH', 'ER', 'D', 'AA', 'M', 'AH', 'N', 'EY', 'SH', 'AH', 'N']"
6,archive/data/TEST\DR1\FAKS0\SX223.TXT,"['PUT', 'THE', 'BUTCHER', 'BLOCK', 'TABLE', 'IN', 'THE', 'GARAGE']","['P', 'UH', 'T', 'DH', 'AH', 'B', 'UH', 'CH', 'ER', 'B', 'L', 'AA', 'K', 'T', 'EY', 'B', 'AH', 'L', 'IH', 'N', 'DH', 'AH', 'G', 'ER', 'AA', 'ZH']",output_superimpose_0.5\DR1/FAKS0/SX223.WAV.txt,"['THE', 'BATTALION']","['DH', 'AH', 'B', 'AH', 'T', 'AE', 'L', 'Y', 'AH', 'N']"
7,archive/data/TEST\DR1\FAKS0\SX313.TXT,"['DROP', 'FIVE', 'FORMS', 'IN', 'THE', 'BOX', 'BEFORE', 'YOU', 'GO', 'OUT']","['D', 'R', 'AA', 'P', 'F', 'AY', 'V', 'F', 'AO', 'R', 'M', 'Z', 'IH', 'N', 'DH', 'AH', 'B', 'AA', 'K', 'S', 'B', 'IH', 'F', 'AO', 'R', 'Y', 'UW', 'G', 'OW', 'AW', 'T']",output_superimpose_0.5\DR1/FAKS0/SX313.WAV.txt,"['BUT', 'FIORDS', 'OF', 'THE', 'BOX', 'BEFORE', 'I', 'GO', 'OUT']","['B', 'AH', 'T', 'F', 'AY', 'AH', 'R', 'D', 'Z', 'AH', 'V', 'DH', 'AH', 'B', 'AA', 'K', 'S', 'B', 'IH', 'F', 'AO', 'R', 'AY', 'G', 'OW', 'AW', 'T']"
8,archive/data/TEST\DR1\FAKS0\SX403.TXT,"['HER', 'WARDROBE', 'CONSISTS', 'OF', 'ONLY', 'SKIRTS', 'AND', 'BLOUSES']","['HH', 'ER', 'W', 'AO', 'R', 'D', 'R', 'OW', 'B', 'K', 'AH', 'N', 'S', 'IH', 'S', 'T', 'S', 'AH', 'V', 'OW', 'N', 'L', 'IY', 'S', 'K', 'ER', 'T', 'S', 'AH', 'N', 'D', 'B', 'L', 'AW', 'S', 'AH', 'Z']",output_superimpose_0.5\DR1/FAKS0/SX403.WAV.txt,"['MORE', 'OCULISTIC']","['M', 'AO', 'R', 'AA', 'K', 'Y', 'UW', 'L', 'AH', 'S', 'T', 'AH', 'K']"
9,archive/data/TEST\DR1\FAKS0\SX43.TXT,"['ELDERLY', 'PEOPLE', 'ARE', 'OFTEN', 'EXCLUDED']","['EH', 'L', 'D', 'ER', 'L', 'IY', 'P', 'IY', 'P', 'AH', 'L', 'AA', 'R', 'AO', 'F', 'AH', 'N', 'IH', 'K', 'S', 'K', 'L', 'UW', 'D', 'AH', 'D']",output_superimpose_0.5\DR1/FAKS0/SX43.WAV.txt,"['ELDERLY', 'PEOPLE', 'ARE', 'OFTEN']","['EH', 'L', 'D', 'ER', 'L', 'IY', 'P', 'IY', 'P', 'AH', 'L', 'AA', 'R', 'AO', 'F', 'AH', 'N']"
