T IH N,T AH N,128
N G,N D G,123
DH IH S,DH AH S,2
S D AY,S T AY,1
AY V S,AY L S,1
R D AA R K,R AH T AE K,1
 AA HH, HH AE HH,1
HH AA HH,HH AH HH,1
D AH V,D IH V,1
R S,R S S,1
K AH M,K AA M,1
T AH K,T AA K,1
N G R,N D R,3
N G R,N K R,2
N G R,N D K R,2
R IY S,R AH S,1
R IY S,R EY S,8
S IY,S T IY,1
S AH Z,S IH Z,1
 B IY IH, IH,1
D L,D AH L,1
L IY AE M B,L Z EY B,1
L D TH R UW,L T UW,1
R D EH N,R T AH N,1
N D,N D D,1
D AH S,D UW S,1
L D DH,L DH,3
R AH P,R P,3
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
 HH IY, W EH N SH IY,1
 HH IY, W IY,1
 HH IY, SH IY,1
L IH T,L AH N T,1
W UH D JH,W IH DH JH,1
 B R, IH N R,1
OY L,OY AH L,1
L AH,L DH AH,1
AH G L,AH K L,1
OW,OW DH Z,1
V HH ER ER,V ER,2
V HH ER ER,V AO R ER,1
JH F,JH D F,2
NG AE T,NG IH T,4
D Y AO R D,D AH D,3
K M,K DH EH M,1
K M,K T M,1
M IY T,M T,1
IY AE N,IY AA N,2
IY AE N,IY AH N,6
IY AE N,IY AA N N,1
N OY L IY R,N AH R,1
IY T UW R,IY R,1
K AH T,K OW T,1
 B IH F, F,2
EY Z IH,EY IH,1
M R IY V Y,M IH F Y,1
UW EH V,UW HH AE V,1
V ER IY F,V AH F,1
N Z SH,N SH,2
N Z SH,N D SH,1
 Y UW T, HH IY T,1
K W IH DH L,K R IY AH L,1
AY N Z,AY Z,1
Z T UW IY,Z D IY,1
 D, IH N D,2
 D, AY D,1
D IH S,D AH S,1
R OY EH V ER IY,R IY,1
IY F AY L R IH L,IY AH L,1
L EY T IH D T UW M AY AA D AH T S,L,1
N OW T,N AA T,1
UW M M,UW M,1
Y UH R,Y UW R,1
R AH L Z,R OW Z,1
 M IH D IY, P IY,1
 M IH D IY, AE N IY,1
IY V AH,IY P AH,1
AY R AA,AY ER AA,2
IY Z,IY,2
Y UW Y,Y AO R Y,1
 AH, IH F AH,1
 AH, DH AH,5
IY,IY N AH,1
IY,IY R AH G Z,1
N DH AH S,N S,1
M TH EY R,M AA R,1
M TH EY R,M DH EH R AA R,1
W AO R N,W AH N,1
 SH, AH N D SH,2
 SH, DH AH SH,1
 SH, IH F SH,3
 SH, W EH L SH,1
 SH, Y AE SH,2
T ER R,T AH L R,1
D AW ER AO,D AA R AO,3
D AW ER AO,D AE N AO,1
OW HH AE V,OW EH V,1
V HH ER,V ER,1
JH F AO R AH M,JH HH ER M,1
UW B IH L,UW L,1
V IH N,V AH N,1
N F,N D F,1
L IH,L IY IH,2
M R IY V Y UW EH,M EH,1
M Y AH L AH,M,1
N AW DH,N OW DH,1
 V EY, F EY,1
T IH,T D IH,1
T IH,T HH IH,1
IH N G,IH G,1
IY S IY W,IY Z AH N D W,1
M ER AH,M AH R AH,1
S T K,S K,1
 AA, IH T S AA,1
S IH Z F AO R R IY L,S,1
B AE L,B IH L,1
K AO,K W AO,2
R D ER,R T ER,2
ER OY,ER R OY,2
SH IY HH AE D,SH UH D,1
SH IY HH AE D,SH EH D,1
IY IH NG AH,IY D AH,1
F DH AH,F AH,1
M IH Z,M ER Z,1
ER AH N D JH,ER JH,2
R N,R AH N,2
R N,R,2
B AA R B B,B IY B,1
B ER N D,B D,1
D P,D UH R IH NG P,1
ER AH N D L,ER L,1
S AH S,S ER Z,1
S AH S,S AY S,1
UW IH N,UW AH N,1
N IH,N D IH,1
IH T AH,IH D AH,1
P OW S T,P L IH SH T,1
 JH AA N K, CH AE D K,1
R B B,R B,4
ER N D P,ER AH P,3
S P AO,S K AO,1
R T,R,1
R T,R AH T,1
T IH N G,T AH G,2
T IH N G,T G,9
T IH N G,T DH AH G,1
AH V P,AH P,1
T AH N D HH,T S DH AE T HH,1
 B AH, W AH,2
N N,N D N,1
P EH K,P AE K,3
S T D,S D,1
Z JH AA,Z CH AA,1
IH D Z,IH Z,1
K T DH,K IH NG DH,2
K T DH,K DH,3
 G, Y AO R G,1
 G, AY G,1
NG IH N,NG AH N,4
N P,N D P,5
 HH IY W AA Z N T L AY K L IY T UW K AH M D AW N W IH DH HH AA T CH IH L Z AH N D P, P,1
P T F,P AH N D F,1
V M IH L,V F EY L,1
Y AH N EH R Z,Y ER,1
OW HH AE V HH ER ER EY N JH F,OW F,1
AA D AH,AA N T AH,1
HH EH M,HH AE M,1
M S,M L AH T S,1
M S,M AH N D S,1
M S,M W IH DH S,1
Z B IH,Z V IH,1
Z IY F IY T,Z AH T,1
T SH,T DH AH SH,1
N AW ER HH,N DH AH HH,1
 AE L, EY L,1
L AH S AH Z,L Z IY Z,1
Z IH T S,Z DH AH S,1
UW F,UW W IH L F,1
F AW L,F AO L,1
W IY K N,W IH T N,1
S IH N,S AH N,1
N L,N D L,2
CH DH,CH T DH,1
Z D DH,Z DH,3
K G L,K K L,1
K G L,K L,1
L AH V Z,L OW DH Z,1
L AH V Z,L OW Z,1
K S UW T IH N G,K G,2
 HH IY M, IH T M,1
IY N F,IY F,1
B AH N D K,B K,1
S AE,S AH N D AE,1
 W IH, L IH,1
IH L,IH T AH L,1
HH AE D,HH ER D,2
W AO R AA,W ER AA,1
AH M R UW M,AH M,1
L IH P,L EH P,1
N DH AH,N AH,1
W EH DH ER,W AO T ER,1
 P AE, Y UW HH AE,1
 P AE, T AE,1
AE M G,AE V G,1
V Z D,V D,1
F OW N IY,F AO R T IY,1
N D T,N T,7
S AE T,S EH T,5
DH IY Z SH,DH AH SH,2
DH AE N,DH EH N,4
 HH ER R, AO R R,1
 HH ER R, P R,1
V AH,V W AH,1
AH HH,AH N HH,1
M D AA,M DH AH AA,1
 L, AH L,1
 L, IH N G L,1
 L, G L,1
Z HH IY G,Z IH T G,1
B EH G ER,B EY K ER,1
 P, W EH L P,1
 P, IH M P,1
 P, AY P,1
T S F,T F,1
AH S T S,AH S,1
M N IY D,M M EY D,1
D AH D B,D IH T B,1
P L,P AH L,1
IY Z T,IY S T,1
ER Z SH,ER SH,3
N IH Z,N HH AE Z,1
N D P,N P,2
R M,R AH M,1
AO L P,AO R P,1
S M AH G Z AO R K,S B UH K S K,1
AH P,AH M P,1
P S,P AH N IY Z,1
AE B D OW M AH,AE T R AH,1
AH N IH,AH F IY IH,1
